$ python rbmCdk.py
Training epoch 0, cost is 3.8404525320116316
Training epoch 1, cost is 3.6030057205387886
Training epoch 2, cost is 3.344840988642098
Training epoch 3, cost is 3.188824249243624
Training epoch 4, cost is 3.0709890316219166
Training epoch 5, cost is 2.98742287450809
Training epoch 6, cost is 2.929312509816723
Training epoch 7, cost is 2.9013902988813474
Training epoch 8, cost is 2.9131964254363987
Training epoch 9, cost is 2.8832716368804547
Training epoch 10, cost is 2.819981768052299
Training epoch 11, cost is 2.7596178172283516
Training epoch 12, cost is 2.6637689428723808
Training epoch 13, cost is 2.62014579454439
Training epoch 14, cost is 2.6248578887924894
Training epoch 15, cost is 2.5964701103505443
Training epoch 16, cost is 2.582490708351225
Training epoch 17, cost is 2.4871823996985825
Training epoch 18, cost is 2.3905737044907283
Training epoch 19, cost is 2.4036810513800844
Training epoch 20, cost is 2.3562918601197858
Training epoch 21, cost is 2.3250487299480205
Training epoch 22, cost is 2.3062347739511755
Training epoch 23, cost is 2.386264335385355
Training epoch 24, cost is 2.3787885865436036
Training epoch 25, cost is 2.3308163755811706
Training epoch 26, cost is 2.336690704742606
Training epoch 27, cost is 2.3008356043804823
Training epoch 28, cost is 2.302860141966925
Training epoch 29, cost is 2.235576964582657
Training epoch 30, cost is 2.1685837328760296
Training epoch 31, cost is 2.124060174400338
Training epoch 32, cost is 2.0653366511604125
Training epoch 33, cost is 2.0125700442506838
Training epoch 34, cost is 1.9693081231188294
Training epoch 35, cost is 1.9374885676950013
Training epoch 36, cost is 1.9410734866877377
Training epoch 37, cost is 1.9340292621207542
Training epoch 38, cost is 1.935991175865235
Training epoch 39, cost is 1.9089171949409798
Training epoch 40, cost is 1.857051648150587
Training epoch 41, cost is 1.817839021130182
Training epoch 42, cost is 1.8203396041097297
Training epoch 43, cost is 1.7678309835029917
Training epoch 44, cost is 1.7561401738675742
Training epoch 45, cost is 1.733343833618135
Training epoch 46, cost is 1.6983455297765602
Training epoch 47, cost is 1.6477933613695328
Training epoch 48, cost is 1.593953051222641
Training epoch 49, cost is 1.6330856899232238
Training epoch 50, cost is 1.579773709554801
Training epoch 51, cost is 1.535722043858896
Training epoch 52, cost is 1.5071423956774617
Training epoch 53, cost is 1.4762456103248596
Training epoch 54, cost is 1.460176165241997
Training epoch 55, cost is 1.422800957043498
Training epoch 56, cost is 1.4143672242382754
Training epoch 57, cost is 1.3874580052305066
Training epoch 58, cost is 1.3972372809706968
Training epoch 59, cost is 1.3798265292965841
Training epoch 60, cost is 1.3761725010070534
Training epoch 61, cost is 1.3560134559658679
Training epoch 62, cost is 1.2804404182017124
Training epoch 63, cost is 1.2598937255749731
Training epoch 64, cost is 1.2492316580376865
Training epoch 65, cost is 1.2427756676368722
Training epoch 66, cost is 1.2200782579117966
Training epoch 67, cost is 1.1859917070098058
Training epoch 68, cost is 1.168198162118747
Training epoch 69, cost is 1.1516985828425665
Training epoch 70, cost is 1.1484122413899567
Training epoch 71, cost is 1.1567466588654691
Training epoch 72, cost is 1.1572079326435876
Training epoch 73, cost is 1.1244921093991078
Training epoch 74, cost is 1.1309927747958923
Training epoch 75, cost is 1.1195175901929924
Training epoch 76, cost is 1.0796514698946045
Training epoch 77, cost is 1.0935261638181515
Training epoch 78, cost is 1.0897014425548146
Training epoch 79, cost is 1.0705688710647665
Training epoch 80, cost is 1.049871257218115
Training epoch 81, cost is 1.040275400049788
Training epoch 82, cost is 1.0158692383760233
Training epoch 83, cost is 0.9657599659570509
Training epoch 84, cost is 0.9314559226057768
Training epoch 85, cost is 0.9238761068306713
Training epoch 86, cost is 0.9264320267252849
