============ generation 0 ===============
0 {'chromosome': '0111110110010001', 'fitness': 5}
1 {'chromosome': '1111010100110001', 'fitness': 5}
2 {'chromosome': '0101011001110011', 'fitness': 5}
3 {'chromosome': '0001111000110101', 'fitness': 6}
4 {'chromosome': '0110000001110001', 'fitness': 6}
5 {'chromosome': '0101010001101110', 'fitness': 6}
6 {'chromosome': '0110001111010001', 'fitness': 6}
7 {'chromosome': '0100111011000101', 'fitness': 6}
8 {'chromosome': '0011111001110101', 'fitness': 6}
9 {'chromosome': '1110010000010110', 'fitness': 7}
10 {'chromosome': '0100000101101011', 'fitness': 7}
11 {'chromosome': '1001010010110111', 'fitness': 7}
12 {'chromosome': '1101100000010110', 'fitness': 7}
13 {'chromosome': '0111101000110101', 'fitness': 7}
14 {'chromosome': '0001110111111110', 'fitness': 7}
15 {'chromosome': '0111000100101001', 'fitness': 7}
16 {'chromosome': '0110010110110110', 'fitness': 7}
17 {'chromosome': '1101011011000011', 'fitness': 7}
18 {'chromosome': '1001010001101110', 'fitness': 8}
19 {'chromosome': '0100001111101100', 'fitness': 8}
20 {'chromosome': '1100100001111001', 'fitness': 8}
21 {'chromosome': '1110110111111111', 'fitness': 8}
22 {'chromosome': '1010110110011101', 'fitness': 8}
23 {'chromosome': '1110001001000111', 'fitness': 8}
24 {'chromosome': '0100000001001010', 'fitness': 8}
25 {'chromosome': '0110000101001010', 'fitness': 8}
26 {'chromosome': '1010001111010001', 'fitness': 8}
27 {'chromosome': '0110010010000011', 'fitness': 8}
28 {'chromosome': '0010100101011011', 'fitness': 8}
29 {'chromosome': '0110110000111100', 'fitness': 8}
30 {'chromosome': '1100100001011000', 'fitness': 8}
31 {'chromosome': '1111110010001101', 'fitness': 8}
32 {'chromosome': '0110100101001000', 'fitness': 8}
33 {'chromosome': '1001110010011100', 'fitness': 8}
34 {'chromosome': '0001110010011011', 'fitness': 8}
35 {'chromosome': '1110110001000011', 'fitness': 8}
36 {'chromosome': '1110001001000000', 'fitness': 9}
37 {'chromosome': '1001101000000001', 'fitness': 9}
38 {'chromosome': '1100100001111011', 'fitness': 9}
39 {'chromosome': '1001011110011010', 'fitness': 9}
40 {'chromosome': '1001000111101000', 'fitness': 9}
41 {'chromosome': '0011101110010000', 'fitness': 9}
42 {'chromosome': '0111000010101100', 'fitness': 9}
43 {'chromosome': '1010001001111101', 'fitness': 9}
44 {'chromosome': '1000000110000110', 'fitness': 9}
45 {'chromosome': '0001001001101110', 'fitness': 9}
46 {'chromosome': '0111101000110110', 'fitness': 9}
47 {'chromosome': '0100101001100011', 'fitness': 9}
48 {'chromosome': '1110101100000111', 'fitness': 9}
49 {'chromosome': '1000111011001101', 'fitness': 9}
50 {'chromosome': '1100111001101011', 'fitness': 10}
51 {'chromosome': '0011101001001011', 'fitness': 10}
52 {'chromosome': '1001101000110011', 'fitness': 10}
53 {'chromosome': '0010101101001011', 'fitness': 10}
54 {'chromosome': '1010110110011000', 'fitness': 10}
55 {'chromosome': '1001110010001011', 'fitness': 10}
56 {'chromosome': '1000101101100011', 'fitness': 10}
57 {'chromosome': '1100101010001101', 'fitness': 10}
58 {'chromosome': '1000101100000011', 'fitness': 10}
59 {'chromosome': '1010110110011000', 'fitness': 10}
60 {'chromosome': '0010100101101110', 'fitness': 10}
61 {'chromosome': '1010001001000000', 'fitness': 10}
62 {'chromosome': '1110101000000111', 'fitness': 10}
63 {'chromosome': '0010011011101111', 'fitness': 10}
64 {'chromosome': '1010110010001101', 'fitness': 10}
65 {'chromosome': '1000111011111100', 'fitness': 10}
66 {'chromosome': '0010011000110010', 'fitness': 10}
67 {'chromosome': '1010011100001011', 'fitness': 10}
68 {'chromosome': '1000111011000011', 'fitness': 10}
69 {'chromosome': '0110111010000011', 'fitness': 10}
70 {'chromosome': '1000101000000111', 'fitness': 10}
71 {'chromosome': '1010001110000001', 'fitness': 10}
72 {'chromosome': '0000111011101111', 'fitness': 10}
73 {'chromosome': '1010001001111100', 'fitness': 10}
