============ generation 0 ===============
0 {'chromosome': '0001010000011100', 'fitness': 5}
1 {'chromosome': '0001111101001100', 'fitness': 6}
2 {'chromosome': '1110010110010001', 'fitness': 6}
3 {'chromosome': '0011011000000100', 'fitness': 7}
4 {'chromosome': '1010000100000101', 'fitness': 7}
5 {'chromosome': '0001100101001110', 'fitness': 7}
6 {'chromosome': '0111100101001110', 'fitness': 7}
7 {'chromosome': '0100110110010010', 'fitness': 7}
8 {'chromosome': '0001101011010001', 'fitness': 7}
9 {'chromosome': '1001010111100000', 'fitness': 7}
10 {'chromosome': '0101101001111110', 'fitness': 8}
11 {'chromosome': '0010001001111101', 'fitness': 8}
12 {'chromosome': '1111001011011001', 'fitness': 8}
13 {'chromosome': '1100110110110000', 'fitness': 8}
14 {'chromosome': '0001001110001001', 'fitness': 8}
15 {'chromosome': '0001001110111001', 'fitness': 8}
16 {'chromosome': '0111100101101000', 'fitness': 8}
17 {'chromosome': '0001001110111001', 'fitness': 8}
18 {'chromosome': '0101101001101100', 'fitness': 8}
19 {'chromosome': '1111100111111100', 'fitness': 8}
20 {'chromosome': '1001011010011111', 'fitness': 8}
21 {'chromosome': '0111011110111011', 'fitness': 8}
22 {'chromosome': '0111101001111100', 'fitness': 8}
23 {'chromosome': '0010111101111100', 'fitness': 8}
24 {'chromosome': '0001101110001100', 'fitness': 9}
25 {'chromosome': '1001010010101001', 'fitness': 9}
26 {'chromosome': '1000011011001100', 'fitness': 9}
27 {'chromosome': '1010011111011011', 'fitness': 9}
28 {'chromosome': '1000010001111010', 'fitness': 9}
29 {'chromosome': '1011110110011110', 'fitness': 9}
30 {'chromosome': '0100101011100100', 'fitness': 9}
31 {'chromosome': '1100001011100100', 'fitness': 9}
32 {'chromosome': '1010001001111101', 'fitness': 9}
33 {'chromosome': '0010111110100101', 'fitness': 9}
34 {'chromosome': '1111011110111000', 'fitness': 9}
35 {'chromosome': '0011011010011011', 'fitness': 9}
36 {'chromosome': '0000101001010010', 'fitness': 9}
37 {'chromosome': '1000110110110000', 'fitness': 9}
38 {'chromosome': '1011000111100110', 'fitness': 9}
39 {'chromosome': '1010011111011011', 'fitness': 9}
40 {'chromosome': '1100001011100100', 'fitness': 9}
41 {'chromosome': '1100101111100001', 'fitness': 9}
42 {'chromosome': '0110000011100110', 'fitness': 9}
43 {'chromosome': '1000100011011001', 'fitness': 9}
44 {'chromosome': '1110011011001100', 'fitness': 9}
45 {'chromosome': '0011001000111110', 'fitness': 10}
46 {'chromosome': '0011001000111110', 'fitness': 10}
47 {'chromosome': '1011101001110110', 'fitness': 10}
48 {'chromosome': '1111000010100000', 'fitness': 10}
49 {'chromosome': '1110011011011010', 'fitness': 10}
50 {'chromosome': '0010000111101011', 'fitness': 10}
51 {'chromosome': '1111000010111011', 'fitness': 10}
52 {'chromosome': '0000100000100110', 'fitness': 10}
53 {'chromosome': '1001101001101100', 'fitness': 10}
54 {'chromosome': '1010010110100000', 'fitness': 10}
55 {'chromosome': '1001101110001001', 'fitness': 10}
56 {'chromosome': '1011001011001100', 'fitness': 10}
57 {'chromosome': '1111101001101111', 'fitness': 10}
58 {'chromosome': '1011101001100111', 'fitness': 10}
59 {'chromosome': '1010001001100111', 'fitness': 10}
60 {'chromosome': '1011111111100110', 'fitness': 10}
61 {'chromosome': '1000100110001001', 'fitness': 10}
62 {'chromosome': '1111000010100000', 'fitness': 10}
63 {'chromosome': '1001100000111011', 'fitness': 10}
64 {'chromosome': '1101101111111010', 'fitness': 10}
65 {'chromosome': '1100100001101000', 'fitness': 10}
66 {'chromosome': '1000011110111000', 'fitness': 10}
67 {'chromosome': '0010010110101000', 'fitness': 10}
68 {'chromosome': '1000100111111011', 'fitness': 10}
69 {'chromosome': '1000100010011111', 'fitness': 10}
70 {'chromosome': '1011110111101000', 'fitness': 10}
71 {'chromosome': '0000100000111000', 'fitness': 10}
72 {'chromosome': '0000101111100110', 'fitness': 10}
73 {'chromosome': '0000101010010110', 'fitness': 10}
74 {'chromosome': '1000101110001100', 'fitness': 11}
